
## 算数・数学（単元） (116)
小1 / かずとすうじ（10までの かず）	MATH_G1_U01
小1 / いくつといくつ	MATH_G1_U02
小1 / かたちあそび	MATH_G1_U03
小1 / なんばんめ	MATH_G1_U04
小1 / あわせていくつ（たしざん）	MATH_G1_U05
小1 / ふえるといくつ（たしざん）	MATH_G1_U06
小1 / のこりはいくつ（ひきざん）	MATH_G1_U07
小1 / ちがいはいくつ（ひきざん）	MATH_G1_U08
小1 / 20までのかず	MATH_G1_U09
小1 / なんじ（とけい）	MATH_G1_U10
小1 / ながさくらべ	MATH_G1_U11
小1 / かさくらべ	MATH_G1_U12
小1 / えぐらふ	MATH_G1_U13
小1 / ひょう	MATH_G1_U14
小1 / さんかくとしかく	MATH_G1_U15
小1 / かたちづくり	MATH_G1_U16
小1 / 3つのかずのけいさん	MATH_G1_U17
小1 / ぶんしょうだい	MATH_G1_U18
小2 / 表 と グラフ	MATH_G2_U01
小2 / たし算（2けた＋2けた）	MATH_G2_U02
小2 / ひき算（2けた−2けた）	MATH_G2_U03
小2 / 長さ（ものさし）	MATH_G2_U04
小2 / 100までの 数	MATH_G2_U05
小2 / かさ（リットル・デシリットル）	MATH_G2_U06
小2 / 時こく と 時かん	MATH_G2_U07
小2 / 3けたの 数	MATH_G2_U08
小2 / かけ算（かけ算のいみ）	MATH_G2_U09
小2 / かけ算（九九）	MATH_G2_U10
小2 / はこの 形	MATH_G2_U11
小2 / ぶんしょうだい	MATH_G2_U12
小3 / 表 と グラフ	MATH_G3_U01
小3 / 大きい 数（1000より大きい数）	MATH_G3_U02
小3 / たし算（3けた・4けた）	MATH_G3_U03
小3 / ひき算（3けた・4けた）	MATH_G3_U04
小3 / 時こく と 時かん	MATH_G3_U05
小3 / 長さ（km と m）	MATH_G3_U06
小3 / かけ算（2けた×1けた など）	MATH_G3_U07
小3 / 円 と きゅう	MATH_G3_U08
小3 / わり算（わり算のいみ）	MATH_G3_U09
小3 / わり算（あまりのある計算）	MATH_G3_U10
小3 / 重さ（g と kg）	MATH_G3_U11
小3 / 小数	MATH_G3_U12
小3 / 分数	MATH_G3_U13
小3 / □をつかった 式	MATH_G3_U14
小4 / 大きい 数（1おくまでの数）	MATH_G4_U01
小4 / わり算（2けたでわる計算）	MATH_G4_U02
小4 / 折れ線グラフ	MATH_G4_U03
小4 / 角	MATH_G4_U04
小4 / そろばん	MATH_G4_U05
小4 / 小数	MATH_G4_U06
小4 / 小数の たし算 と ひき算	MATH_G4_U07
小4 / 面せき	MATH_G4_U08
小4 / がい数	MATH_G4_U09
小4 / 式 と 計算の じゅんじょ	MATH_G4_U10
小4 / 分数	MATH_G4_U11
小4 / 分数の たし算 と ひき算	MATH_G4_U12
小4 / 直方体 と 立方体	MATH_G4_U13
小4 / 変わり方	MATH_G4_U14
小4 / 調べたことを 表 や グラフ にまとめる	MATH_G4_U15
小5 / 整数 と 小数	MATH_G5_U01
小5 / 体積	MATH_G5_U02
小5 / 小数の かけ算	MATH_G5_U03
小5 / 小数の わり算	MATH_G5_U04
小5 / 合同な 図形	MATH_G5_U05
小5 / 分数 と 小数・整数	MATH_G5_U06
小5 / 分数の たし算 と ひき算	MATH_G5_U07
小5 / 平均	MATH_G5_U08
小5 / 単位量あたりの 大きさ	MATH_G5_U09
小5 / 速さ	MATH_G5_U10
小5 / 比例	MATH_G5_U11
小5 / 円 と 正多角形	MATH_G5_U12
小5 / 角柱 と 円柱	MATH_G5_U13
小5 / 割合	MATH_G5_U14
小5 / 帯グラフ と 円グラフ	MATH_G5_U15
小6 / 対称な 図形	MATH_G6_U01
小6 / 文字 と 式	MATH_G6_U02
小6 / 分数の かけ算	MATH_G6_U03
小6 / 分数の わり算	MATH_G6_U04
小6 / 比 と その 利用	MATH_G6_U05
小6 / 比例 と 反比例	MATH_G6_U06
小6 / 拡大図 と 縮図	MATH_G6_U07
小6 / 円の 面積	MATH_G6_U08
小6 / 角柱 と 円柱の 体積	MATH_G6_U09
小6 / およその 面積 と 体積	MATH_G6_U10
小6 / 場合の 数	MATH_G6_U11
小6 / 資料の 調べ方	MATH_G6_U12
小6 / 算数の まとめ	MATH_G6_U13
中1 / 正の数 と 負の数	MATH_G7_U01
中1 / 正負の数の 加法 と 減法	MATH_G7_U02
中1 / 正負の数の 乗法 と 除法	MATH_G7_U03
中1 / 文字式	MATH_G7_U04
中1 / 文字式の 計算	MATH_G7_U05
中1 / 一次方程式	MATH_G7_U06
中1 / 一次方程式の 利用	MATH_G7_U07
中1 / 比例 と 反比例	MATH_G7_U08
中1 / 平面図形	MATH_G7_U09
中1 / 空間図形	MATH_G7_U10
中1 / 資料の 整理 と 活用	MATH_G7_U11
中2 / 式の計算	MATH_G8_U01
中2 / 連立方程式	MATH_G8_U02
中2 / 連立方程式の 利用	MATH_G8_U03
中2 / 一次関数	MATH_G8_U04
中2 / 図形の 性質	MATH_G8_U05
中2 / 図形の 合同	MATH_G8_U06
中2 / 三角形 と 四角形	MATH_G8_U07
中2 / 確率	MATH_G8_U08
中2 / データの 分析	MATH_G8_U09
中3 / 式の 展開 と 因数分解	MATH_G9_U01
中3 / 平方根	MATH_G9_U02
中3 / 二次方程式	MATH_G9_U03
中3 / 二次方程式の 利用	MATH_G9_U04
中3 / 関数 y=ax²	MATH_G9_U05
中3 / 相似な 図形	MATH_G9_U06
中3 / 三平方の 定理	MATH_G9_U07
中3 / 円の 性質	MATH_G9_U08
中3 / 標本調査	MATH_G9_U09

## 国語（単元） (99)
小1 / ひらがな	KOKUGO_G1_U01
小1 / ことばあつめ	KOKUGO_G1_U02
小1 / のばすおん（ー）	KOKUGO_G1_U03
小1 / ちいさい「っ」	KOKUGO_G1_U04
小1 / 「は・を・へ」のつかいかた	KOKUGO_G1_U05
小1 / かたかな	KOKUGO_G1_U06
小1 / おはなしをよむ	KOKUGO_G1_U07
小1 / せつめいぶんをよむ	KOKUGO_G1_U08
小1 / ばめんをそうぞうしてよむ	KOKUGO_G1_U09
小1 / たいせつなところをみつけてよむ	KOKUGO_G1_U10
小1 / ぶんをかく	KOKUGO_G1_U11
小1 / かんたんなにっき	KOKUGO_G1_U12
小1 / おはなしをつくる	KOKUGO_G1_U13
小1 / はなしをきく	KOKUGO_G1_U14
小1 / じぶんのことをはなす	KOKUGO_G1_U15
小1 / みんなのまえではなす	KOKUGO_G1_U16
小2 / かたかなのことば	KOKUGO_G2_U01
小2 / 主語 と 述語	KOKUGO_G2_U02
小2 / 文のきまり	KOKUGO_G2_U03
小2 / 日記を書く	KOKUGO_G2_U04
小2 / せつめい文を読む	KOKUGO_G2_U05
小2 / 物語を読む	KOKUGO_G2_U06
小2 / 大事なことを見つける	KOKUGO_G2_U07
小2 / 手紙を書く	KOKUGO_G2_U08
小2 / 作文を書く	KOKUGO_G2_U09
小2 / 話を聞く	KOKUGO_G2_U10
小2 / 順序よく話す	KOKUGO_G2_U11
小3 / 漢字の読み書き	KOKUGO_G3_U01
小3 / 国語辞典の使い方	KOKUGO_G3_U02
小3 / 段落	KOKUGO_G3_U03
小3 / 物語文の読み取り	KOKUGO_G3_U04
小3 / 説明文の読み取り	KOKUGO_G3_U05
小3 / 要点をまとめる	KOKUGO_G3_U06
小3 / 日記・作文	KOKUGO_G3_U07
小3 / 手紙の書き方	KOKUGO_G3_U08
小3 / 話し合い	KOKUGO_G3_U09
小4 / 漢字の使い方	KOKUGO_G4_U01
小4 / 熟語	KOKUGO_G4_U02
小4 / 国語辞典・漢字辞典	KOKUGO_G4_U03
小4 / 段落と要旨	KOKUGO_G4_U04
小4 / 物語文の読み取り	KOKUGO_G4_U05
小4 / 説明文の読み取り	KOKUGO_G4_U06
小4 / 要約	KOKUGO_G4_U07
小4 / 意見文を書く	KOKUGO_G4_U08
小4 / 話し合いと発表	KOKUGO_G4_U09
小5 / 漢字の意味と使い分け	KOKUGO_G5_U01
小5 / 敬語	KOKUGO_G5_U02
小5 / 物語文の読み取り	KOKUGO_G5_U03
小5 / 説明文の読み取り	KOKUGO_G5_U04
小5 / 要約と要旨	KOKUGO_G5_U05
小5 / 意見文を書く	KOKUGO_G5_U06
小5 / 報告文を書く	KOKUGO_G5_U07
小5 / 討論	KOKUGO_G5_U08
小5 / スピーチ	KOKUGO_G5_U09
小6 / 漢字のまとめ	KOKUGO_G6_U01
小6 / 熟語と語句	KOKUGO_G6_U02
小6 / 物語文の読み取り	KOKUGO_G6_U03
小6 / 説明文の読み取り	KOKUGO_G6_U04
小6 / 要旨と要約	KOKUGO_G6_U05
小6 / 意見文を書く	KOKUGO_G6_U06
小6 / 提案文を書く	KOKUGO_G6_U07
小6 / 討論	KOKUGO_G6_U08
小6 / スピーチ	KOKUGO_G6_U09
小6 / 卒業文集	KOKUGO_G6_U10
中1 / 物語文の読み取り	KOKUGO_G7_U01
中1 / 説明文の読み取り	KOKUGO_G7_U02
中1 / 詩の読み取り	KOKUGO_G7_U03
中1 / 古典（古文の基礎）	KOKUGO_G7_U04
中1 / 漢文の基礎	KOKUGO_G7_U05
中1 / 文の成分（主語・述語など）	KOKUGO_G7_U06
中1 / 品詞	KOKUGO_G7_U07
中1 / 漢字の読み書き	KOKUGO_G7_U08
中1 / 要約	KOKUGO_G7_U09
中1 / 意見文	KOKUGO_G7_U10
中1 / スピーチ	KOKUGO_G7_U11
中1 / 話し合い	KOKUGO_G7_U12
中2 / 物語文の読み取り	KOKUGO_G8_U01
中2 / 説明文の読み取り	KOKUGO_G8_U02
中2 / 詩・短歌・俳句	KOKUGO_G8_U03
中2 / 古文（物語・随筆）	KOKUGO_G8_U04
中2 / 漢文（訓読・故事成語）	KOKUGO_G8_U05
中2 / 文法（品詞・活用）	KOKUGO_G8_U06
中2 / 漢字の読み書き	KOKUGO_G8_U07
中2 / 要約	KOKUGO_G8_U08
中2 / 意見文	KOKUGO_G8_U09
中2 / 発表	KOKUGO_G8_U10
中2 / 討論	KOKUGO_G8_U11
中3 / 物語文の読み取り	KOKUGO_G9_U01
中3 / 説明文の読み取り	KOKUGO_G9_U02
中3 / 詩・短歌・俳句	KOKUGO_G9_U03
中3 / 古文（古典文学）	KOKUGO_G9_U04
中3 / 漢文（名文・思想）	KOKUGO_G9_U05
中3 / 文法（文の構造）	KOKUGO_G9_U06
中3 / 漢字の読み書き	KOKUGO_G9_U07
中3 / 要約	KOKUGO_G9_U08
中3 / 論説文を書く	KOKUGO_G9_U09
中3 / スピーチ	KOKUGO_G9_U10
中3 / 討論	KOKUGO_G9_U11
中3 / 卒業論文・発表	KOKUGO_G9_U12

## 英語（単元） (106)
小3 / あいさつ	ENGLISH_G3_U01
小3 / じこしょうかい	ENGLISH_G3_U02
小3 / すきなもの	ENGLISH_G3_U03
小3 / かぞく	ENGLISH_G3_U04
小3 / いろ	ENGLISH_G3_U05
小3 / かず（1〜20）	ENGLISH_G3_U06
小3 / どうぶつ	ENGLISH_G3_U07
小3 / くだもの・たべもの	ENGLISH_G3_U08
小3 / きぶん	ENGLISH_G3_U09
小3 / からだのぶぶん	ENGLISH_G3_U10
小3 / リスニング総仕上げ	ENGLISH_G3_U11
小3 / 発声総仕上げ	ENGLISH_G3_U12
小3 / 復唱問題総仕上げ	ENGLISH_G3_U13
小3 / 応答問題総仕上げ	ENGLISH_G3_U14
小3 / 英単語総合	ENGLISH_G3_WORDS
小4 / あいさつと会話	ENGLISH_G4_U01
小4 / すきな教科	ENGLISH_G4_U02
小4 / 一日の生活	ENGLISH_G4_U03
小4 / 天気	ENGLISH_G4_U04
小4 / 時こく	ENGLISH_G4_U05
小4 / 文ぼうぐ	ENGLISH_G4_U06
小4 / 場所	ENGLISH_G4_U07
小4 / 学校の中	ENGLISH_G4_U08
小4 / すきな食べ物	ENGLISH_G4_U09
小4 / 日本の文化しょうかい	ENGLISH_G4_U10
小4 / リスニング総仕上げ	ENGLISH_G4_U11
小4 / 発声総仕上げ	ENGLISH_G4_U12
小4 / 復唱問題総仕上げ	ENGLISH_G4_U13
小4 / 応答問題総仕上げ	ENGLISH_G4_U14
小4 / 英単語総合	ENGLISH_G4_WORDS
小5 / アルファベット	ENGLISH_G5_U01
小5 / 自己紹介	ENGLISH_G5_U02
小5 / 家族	ENGLISH_G5_U03
小5 / 誕生日	ENGLISH_G5_U04
小5 / 好きなもの	ENGLISH_G5_U05
小5 / 学校生活	ENGLISH_G5_U06
小5 / 曜日	ENGLISH_G5_U07
小5 / 時こく	ENGLISH_G5_U08
小5 / できること（can）	ENGLISH_G5_U09
小5 / 行きたい場所	ENGLISH_G5_U10
小5 / リスニング総仕上げ	ENGLISH_G5_U11
小5 / 発声総仕上げ	ENGLISH_G5_U12
小5 / 復唱問題総仕上げ	ENGLISH_G5_U13
小5 / 応答問題総仕上げ	ENGLISH_G5_U14
小5 / 英単語総合	ENGLISH_G5_WORDS
小6 / 自己紹介	ENGLISH_G6_U01
小6 / 将来の夢	ENGLISH_G6_U02
小6 / 日常生活	ENGLISH_G6_U03
小6 / 日本文化紹介	ENGLISH_G6_U04
小6 / 行きたい国	ENGLISH_G6_U05
小6 / 思い出	ENGLISH_G6_U06
小6 / 過去の出来事	ENGLISH_G6_U07
小6 / 好きなもの	ENGLISH_G6_U08
小6 / 世界の文化	ENGLISH_G6_U09
小6 / 将来の計画	ENGLISH_G6_U10
小6 / リスニング総仕上げ	ENGLISH_G6_U11
小6 / 発声総仕上げ	ENGLISH_G6_U12
小6 / 復唱問題総仕上げ	ENGLISH_G6_U13
小6 / 応答問題総仕上げ	ENGLISH_G6_U14
小6 / 英単語総合	ENGLISH_G6_WORDS
中1 / アルファベット	ENGLISH_G7_U01
中1 / be動詞	ENGLISH_G7_U02
中1 / 一般動詞	ENGLISH_G7_U03
中1 / 疑問文	ENGLISH_G7_U04
中1 / 否定文	ENGLISH_G7_U05
中1 / 命令文	ENGLISH_G7_U06
中1 / can	ENGLISH_G7_U07
中1 / 現在進行形	ENGLISH_G7_U08
中1 / 三人称単数	ENGLISH_G7_U09
中1 / 前置詞	ENGLISH_G7_U10
中1 / 複数形	ENGLISH_G7_U11
中1 / 代名詞	ENGLISH_G7_U12
中1 / リスニング総仕上げ	ENGLISH_G7_U13
