
## G1 2
車	くるま	くるま / しゃ / とどろき / じしゃ	タイヤが ついていて はしるもの。
耳	みみ	みみ / じ / はな / くち	おとを きく ところ。

## G2 8
雲	くも	くも / うん / わた / あま	空に うかんでいる 白いもの。
雪	ゆき	ゆき / せつ / あられ / こおり	ふゆに ふる つめたいもの。
星	ほし	ほし / せい / ひかり / あかり	よるの そらで 光るもの。
池	いけ	いけ / ち / ぬま / みずうみ	こうえんなどに ある 水のたまり。
羽	はね	はね / う / わね / ぱね	とりが そらをとぶための もの。
寺	てら	てら / じ / じんじゃ / しろ	おぼうさんが いるところ。
船	ふね	ふね / せん / かい / みずぐるま	うみの うえを すすむもの。
刀	かたな	かたな / とう / けん / はもの	ぶしが つかっていた もの。

## G3 19
器	うつわ	うつわ / き / さら / コップ	ものを いれる どうぐ。
係	かかり	かかり / けい / わかれ / とも	じぶんの しごとの たんとう。
湖	みずうみ	みずうみ / こ / いけ / うみ	りくの なかに ある おおきな みず。
港	みなと	みなと / こう / えき / みち	ふねが とまるところ。
祭	まつり	まつり / さい / いわい / にぎやか	わっしょい！と たのしむこと。
詩	し	し / うた / ことば / ぶん	こころを もじで あらわしたもの。
柱	はしら	はしら / ぼう / ささえ / ちゅう	いえを ささえる 太い 棒（ぼう）。
豆	まめ	まめ / たね / つぶ / ず	ちいさくて まるい たべもの。
島	しま	しま / とう / りく / うみ	まわりが うみの りくじ。
波	なみ	なみ / かぜ / あめ / ゆき	うみの みずが ゆれること。
箱	はこ	はこ / そう / いれもの / しかく	ものを いれておく どうぐ。
畑	はたけ	はたけ / でん / た / にわ	やさいを つくる ばしょ。
鼻	はな	はな / くち / め / みみ	においを かぐところ。
氷	こおり	こおり / みず / ゆき / あめ	みずが こおって かたまったもの。
物	もの	もの / ぶつ / じ / しな	かたちの ある もの。
命	いのち	いのち / めい / なま / からだ	いきている こと。
油	あぶら	あぶら / ゆ / みず / おゆ	りょうりなどで つかう どろどろ。
羊	ひつじ	ひつじ / よう / やぎ / うま	もこもこの けの どうぶつ。
旅	たび	たび / りょこう / さんぽ / おでかけ	とおい ところへ いくこと。

## G4 0

## G5 2
桜	さくら	さくら / おう / もも / うめ	春にさく、日本の代表的な花。
志	こころざし	こころざし / し / おもい / ねがい	心に決めた目標。

## G6 13
灰	はい	はい / かい / あく / こな	物が燃えたあとに残るこな。
針	はり	はり / しん / ぼう / くぎ	細くて尖ったもの。「～ と糸。」
穴	あな	あな / くぼみ / けつ / すきま	ぽっかりと開いた通り道。
劇	げき	げき / しばい / おどり / きょく	舞台（ぶたい）で演じるお話。
絹	きぬ	きぬ / ぬの / わた / あさ	かいこのまゆからとれる高級な糸。
宝	たから	たから / ほう / たま / じり	とても大切で価値のあるもの。
姿	すがた	すがた / し / かたち / ようす	目に見える人の形や様子。
窓	まど	まど / そう / かべ / とびら	壁にある、外を見るためのガラス。
机	つくえ	つくえ / いす / たな / まど	勉強をするときに使う台。
肺	はい	はい / はら / むね / いき	息をするための体の中の袋。
胃	い	い / おなか / はら / しょく	食べたものを溶（と）かす場所。
腸	ちょう	ちょう / はらわた / じょう / ちょうあ	栄養を吸収（きゅうしゅう）する場所。
乳	ちち	ちち / にゅう / みるく / おっぱい	赤ちゃんが飲む白い液体。

## G7 0

## G8 1
詔	みことのり	みことのり / おふれ / ことば / つげ	天皇の言葉。命令。

## G9 1
詔	みことのり	みことのり / おふれ / ことば / つげ	天皇の言葉。命令。
